ExerciseType,Start,End,Duration,MeanSpeed,MaxSpeed,Distance,Calories
1001,1573766129000,1573766945472,816472,1.2362212,1.5833334,1009.34,52
1001,1573825724742,1573826254210,529468,1.9984189,2.5,1051,50
1001,1573830982000,1573831868219,886219,1.3055463,1.6388888,1157,58.6
1001,1573843689000,1573844368454,679454,1.4418194,1.7222222,979.65,50.59
1001,1573849692000,1573850465219,773219,1.3930981,1.6388888,1077.17,54.989998
11007,1573961397547,1573963432361,2034814,6.496439,8.93,13207,332
11007,1574030852993,1574032474144,1621151,6.660499,9.2,10783,273
1001,1574085012860,1574085520165,507305,2.0835438,2.5,1050,52
1001,1574098500000,1574099010000,510000,1.9584181,,998.7933,83
1001,1574106328886,1574107090273,761387,1.7586632,2.5,1333,67
1001,1574109190121,1574109791417,601296,1.6531465,2.3666666,991,51
1001,1574117244397,1574117407494,163097,2.0775943,2.5,332,15
1001,1574125282266,1574125690518,408252,2.3115556,2.5,936,43
1001,1574176454880,1574176995196,540316,2.0377617,2.5,1094,53
1001,1574193139930,1574193648983,509053,2.062285,2.5,1045,48
1001,1574198242404,1574198794414,552010,2.0416875,2.5,1120,54
1001,1574201940000,1574202860355,920355,1.3117003,1.3726666,1207.23,63.66
1001,1574257742820,1574258266077,523257,2.0603952,2.5,1071,49
1001,1574266188381,1574266736988,548607,1.9964938,2.5,1094,51
1001,1574290140707,1574290617965,477258,2.2073743,2.5,1050,47
1001,1574299031604,1574299437041,405437,2.180899,2.5,883,57
1001,1574360196165,1574360781551,585386,2.1277258,2.5,1240,62
1001,1574365976100,1574366479522,503422,2.1149955,2.4833333,1061,51
1001,1574371560000,1574372292859,732859,1.2066442,1.5277778,884.3,54.16
13001,1574608215984,1574613278064,5062080,0.83567196,2.5,4228,290
1001,1574780588000,1574781327767,739767,1.0829761,1.5,801.15,48.69
1001,1574814660000,1574815525191,865191,1.273557,1.5277778,1101.87,58.899998
1001,1575294688703,1575295197928,509225,2.1082714,2.5,1073,56
1001,1575300451557,1575300895767,444210,1.984317,2.5,870,46
1001,1575326994432,1575327486401,491969,2.1103756,2.4366667,1029,49
1001,1575329218994,1575329603413,384419,2.3752224,2.5,912,64
1001,1575337092558,1575337685623,593065,1.8100915,2.37,1066,61
1001,1575386522717,1575387030997,508280,2.139622,2.5,1086,49
1001,1575392044270,1575392494481,450211,2.1593757,2.5,971,43
1001,1575397123047,1575397711367,588320,2.132038,2.5,1251,65
1001,1575402429246,1575402944646,515400,2.0965872,2.5,1073,50
1001,1575467340678,1575467903943,563265,1.9035847,2.5,1067,50
1001,1575473282657,1575473952973,670316,1.7106789,2.47,1141,56
1001,1575499728752,1575500268083,539331,1.9902062,2.3833334,1072,48
1001,1575507911697,1575508530968,619271,1.5790278,2.1299999,977,49
1001,1575559025883,1575559590156,564273,1.9126747,2.5,1072,51
1001,1575564346830,1575564874054,527224,1.932116,2.4333334,1014,48
1001,1575569760329,1575570402768,642439,1.9832472,2.5,1267,58
1001,1575575133234,1575575684892,551658,2.0293899,2.5,1114,51
1001,1575640182869,1575640735131,552262,1.9949431,2.4966667,1097,52
1001,1575654883625,1575655339880,456255,2.0224736,2.4733334,922,42
1001,1575899298045,1575899843340,545295,2.0190651,2.5,1098,49
1001,1575905075852,1575905636174,560322,1.7995008,2.5,1004,48
1001,1575933966000,1575934687616,721616,1.1905917,1.5833334,859.15,44.06
1001,1575997599581,1575998212419,612838,1.9543198,2.4933333,1192,58
1001,1576004152720,1576004670793,518073,1.9846772,2.46,1026,49
1001,1576025327503,1576025958777,631274,1.9497474,2.5,1226,55
1001,1576037184723,1576037924877,740154,1.8330215,2.5,1354,63
1001,1576124205308,1576125038805,833497,2.1538293,2.5,1794,81
